"NAME:","run_122_2_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:09:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"13.84","4.04","14.5","-6.47","0.43","-0.51","-2.07"
"13.91","-16.5","-5.92","11.8","-0.41","4.77","-0.29"
"13.97","2.75","0.67","-2.86","0.67","-1.09","0.88"
"14.02","-17.5","20.0","7.02","-2.68","0.87","2.28"
"14.09","-10.9","20.0","0.35","0.67","-0.93","-0.65"
"14.16","-1.69","16.5","2.71","0.31","-2.60","0.45"
"14.22","3.84","-1.06","-4.82","1.51","-2.09","0.64"
"14.29","-3.69","0.71","4.63","0.44","0.16","0.83"
"14.34","-3.61","-4.79","-4.63","0.76","-1.11","-0.65"
"14.41","-4.75","20.0","20.0","-4.31","3.06","-1.64"
"14.47","0.71","20.0","-4.39","-1.78","-0.37","-1.05"
"14.54","-5.33","11.2","1.73","-0.89","1.96","-1.88"
"14.59","1.92","1.26","-8.75","0.87","2.06","-0.80"
"14.66","-5.10","-2.28","0.04","0.79","-0.10","-0.79"
"14.73","-1.18","1.73","-0.08","-0.81","-0.14","1.28"
"14.79","-13.0","10.2","20.0","-4.32","-0.31","3.49"
"14.84","-4.35","20.0","3.10","0.23","-2.27","-1.55"
"14.91","-1.22","12.5","-0.31","0.17","-2.48","0.92"
"15.04","-4.24","0.16","0.55","0.41","0.16","0.78"
"15.09","-11.3","5.26","1.92","-0.17","-0.16","-1.96"
"15.16","17.7","20.0","-14.1","2.95","-4.21","-1.27"
"15.23","-5.33","19.8","-0.63","-1.71","2.04","-0.86"
"15.29","2.94","14.6","-2.94","-0.33","-0.91","-2.86"
"15.36","-16.5","-7.61","14.2","-0.08","4.98","0.01"
"15.41","2.12","2.98","-4.47","0.19","-1.65","0.83"
"15.48","-19.1","20.0","6.32","-2.63","0.81","2.02"
"15.54","-12.4","19.2","4.28","0.92","-0.68","-0.99"
"15.61","-2.08","15.7","2.00","0.49","-2.55","0.47"
"15.66","4.00","-0.51","-7.73","1.44","-2.74","0.81"
"15.73","-5.81","0.43","9.69","0.37","-0.04","1.14"
"15.79","-2.28","3.26","-1.65","1.39","-1.45","-1.05"
"15.86","9.73","19.6","-14.7","1.49","-4.89","-1.40"
"15.99","-0.75","14.6","0.94","-0.97","0.84","-2.76"
"16.05","-10.4","-7.37","-0.98","0.14","4.96","0.39"
"16.11","-2.31","-0.27","-0.08","0.93","-0.23","0.25"
"16.18","-6.39","5.22","7.53","-0.66","-0.24","2.23"
"16.24","-10.9","13.4","-6.43","2.61","-2.76","1.75"
"16.3","0.67","20.0","2.75","-0.31","-2.47","0.45"
"16.36","-0.31","4.31","-0.63","1.39","-1.32","1.00"
"16.43","-0.20","0.94","3.45","0.67","0.48","0.14"
"16.49","-3.80","-5.18","-1.06","0.39","0.18","-0.30"
"16.55","-11.1","20.0","20.0","-4.72","2.20","-2.85"
"16.61","-0.51","20.0","-5.69","-1.20","-0.48","-0.48"
"16.68","-2.98","9.10","0.20","-1.36","1.45","-1.98"
"16.74","1.49","2.79","-8.75","0.97","1.01","-0.69"
"16.81","-8.59","-4.51","4.12","0.67","0.37","-0.98"
"16.93","-14.5","12.7","20.0","-4.56","0.09","3.75"
"16.99","-3.96","20.0","4.90","-0.23","-2.74","-0.71"
"17.06","-0.08","11.5","-0.35","0.13","-1.42","1.11"
"17.11","4.31","-7.14","-4.24","1.86","-1.06","0.52"
"17.18","-7.88","0.35","4.63","0.01","0.00","1.42"
"17.25","1.22","5.53","0.51","1.02","-0.66","-1.56"
"17.31","6.94","12.4","-15.7","0.43","-2.87","-0.42"
"17.36","-6.24","15.2","2.35","-2.79","4.28","-0.61"
"17.43","-2.20","14.7","0.00","-0.26","0.36","-3.06"
"17.5","-10.5","-7.10","-2.47","1.03","4.93","0.33"
"17.56","1.69","-0.59","-2.31","0.84","-1.14","-0.09"
"17.68","-11.4","19.9","-2.51","1.21","-1.48","-1.43"
"18.43","-2.16","20.0","6.63","-0.40","-1.34","-0.27"
"18.50","-1.88","8.67","1.88","0.10","-1.10","1.36"
"18.57","7.49","-6.47","-5.14","1.83","0.03","-0.35"
"19.95","-1.80","10.2","-1.45","0.43","-2.02","0.87"
"20.00","9.65","-7.88","-4.98","2.59","-1.21","0.07"
"20.07","-7.45","3.96","8.43","-0.50","0.10","1.39"
"20.14","-2.16","7.69","16.9","-1.76","0.69","-1.58"
"20.2","6.00","20.0","-3.22","1.58","-1.40","-0.74"
"20.25","-6.35","15.9","4.82","-1.95","2.46","-1.55"
"20.32","1.77","15.2","-3.53","-0.53","-0.18","-3.01"
"20.39","-13.2","-9.26","5.22","0.49","4.92","-0.09"
"20.45","0.55","0.39","-1.18","1.03","-0.96","0.47"
"20.52","-8.67","16.9","9.45","-1.93","0.41","1.94"
