"NAME:","walk_126_2_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:41"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","70"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"38.15","-2.24","-6.94","-7.18","-0.72","1.31","4.51"
"38.26","-7.57","-2.82","-5.26","0.29","0.15","-3.93"
"38.36","6.20","0.04","-7.65","3.04","-1.81","1.09"
"38.46","-0.43","-1.26","-6.08","0.82","-1.90","-0.90"
"38.56","-0.94","-1.29","-9.38","0.39","-1.18","-2.35"
"38.67","-0.59","-3.41","-10.71","0.47","-1.12","-0.27"
"38.77","-2.35","-4.31","-15.97","1.05","0.55","0.22"
"38.87","3.69","0.51","-10.51","-2.81","2.55","0.41"
"38.97","6.20","-9.34","-12.32","-1.48","3.85","-2.48"
"39.07","2.51","0.12","-8.90","-0.47","0.91","1.05"
"39.17","-2.31","-2.31","-0.75","-0.74","-0.24","2.29"
"39.28","16.08","-1.22","-20.01","-0.19","-2.46","-1.32"
"39.38","-1.26","-4.24","-9.18","-0.07","2.08","3.02"
"39.48","0.43","-12.67","-4.20","-0.73","1.44","0.44"
"39.58","-1.10","-5.37","-10.71","3.25","-2.61","2.47"
"39.69","-0.86","0.31","-7.10","0.27","-2.42","-2.99"
"39.79","0.20","-4.20","-8.24","0.22","-1.20","-1.23"
"39.89","-0.63","-2.79","-10.63","1.12","-0.67","-0.58"
"39.99","0.75","-3.65","-15.57","0.92","0.26","1.65"
"40.09","15.30","-6.24","-17.06","-0.69","1.55","-1.00"
"40.19","6.63","0.82","-8.43","-0.89","3.94","-3.95"
"40.30","2.51","-1.33","-8.63","-0.68","1.23","0.76"
"40.40","-0.51","-1.22","-1.80","-0.58","-0.46","2.61"
"40.50","19.30","-0.71","-20.01","-0.54","-2.32","0.00"
"40.60","0.86","1.77","-11.06","0.42","0.73","0.06"
"40.71","-4.59","-6.28","-5.92","0.74","-3.07","-2.12"
"40.81","2.35","2.67","-10.47","2.19","-1.36","-1.42"
"40.91","-0.71","0.00","-5.69","1.19","-2.06","-0.65"
"41.01","0.31","0.31","-8.67","0.30","-1.05","-3.31"
"41.11","-0.63","-3.80","-10.94","0.10","-0.87","0.02"
"41.22","-2.20","-3.80","-16.32","0.10","0.83","1.10"
"41.32","-14.67","-16.32","11.18","-1.31","1.88","3.15"
"41.42","-4.63","-5.53","-9.53","-0.51","5.83","-7.76"
"41.52","0.98","-1.65","-6.32","-0.47","1.45","1.51"
"41.62","-1.41","-0.78","-1.96","-0.60","0.18","1.94"
"41.72","14.79","-2.00","-18.20","-0.53","-1.71","-1.24"
"41.83","5.92","-8.04","-10.83","-0.11","0.80","3.90"
"41.93","-6.55","-6.08","-5.53","0.20","-0.16","-2.61"
"42.03","5.10","1.02","-8.59","2.80","-1.66","-0.51"
"42.13","-0.75","-0.67","-4.82","1.10","-2.04","-0.96"
"42.24","0.78","-2.75","-8.12","0.56","-1.61","-1.92"
"42.34","-0.94","-2.51","-10.79","0.52","-0.84","0.27"
"42.44","-2.04","-3.77","-16.20","0.97","0.67","1.49"
"42.54","8.98","-12.20","-17.81","-1.17","3.34","0.87"
"42.64","2.94","-2.90","-12.28","-0.81","1.99","-1.86"
"42.74","1.77","-2.51","-4.43","-0.56","0.89","0.93"
"42.85","-1.10","-2.31","-2.00","-1.55","-0.51","2.14"
"42.95","14.98","-7.18","-18.87","-0.16","-1.42","0.89"
"43.05","3.26","-1.96","-15.02","0.29","-0.60","-0.95"
