"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"11.63","8.12","3.45","-1.29","-0.70","0.60","-0.34"
"11.69","9.41","-1.02","-0.86","-1.09","-0.13","-0.31"
"11.76","8.28","4.35","4.82","0.71","-1.73","-0.39"
"11.82","14.9","8.87","3.96","0.49","-1.97","0.09"
"11.88","10.4","2.43","-1.14","0.11","-0.37","0.03"
"11.94","7.41","2.31","-0.47","0.49","0.10","0.28"
"12.01","6.32","2.51","-2.67","-0.16","-0.25","0.71"
"12.08","7.85","-0.59","-2.00","0.15","0.53","0.15"
"12.13","8.71","1.88","-1.37","0.83","0.50","-0.57"
"12.19","12.5","3.84","-7.61","0.06","-0.80","0.03"
"12.26","17.2","13.0","3.57","-0.31","0.15","0.52"
"12.33","7.73","0.86","1.18","-0.30","0.86","0.69"
"12.38","9.61","4.79","-1.26","0.20","0.04","-0.94"
"12.44","5.49","3.77","0.12","-0.87","0.56","-0.47"
"12.52","5.96","1.49","-2.08","-0.47","0.16","-0.27"
"12.58","9.30","4.98","-1.29","-0.92","0.23","-0.48"
"12.63","7.69","2.28","-0.63","-0.78","0.77","-0.12"
"12.71","9.53","-0.31","-1.26","-1.20","0.30","-0.17"
"12.77","9.38","4.82","2.67","0.59","-1.94","-0.16"
"12.83","16.0","7.57","3.84","0.70","-1.65","0.21"
"12.90","9.89","2.16","0.67","0.65","-0.09","-0.12"
"12.96","7.96","2.08","-1.77","0.93","0.02","0.27"
"13.02","6.08","2.75","-2.20","0.40","-0.11","0.71"
"13.08","7.96","0.71","-2.35","0.48","1.06","-0.02"
"13.15","9.02","3.84","-1.18","0.97","0.60","-0.71"
"13.21","12.8","4.47","-5.69","-0.05","-0.55","0.11"
"13.27","11.0","8.79","-0.24","-0.50","-0.43","1.18"
