"Name:","run_127_1_1"
"EXPERIMENT TIME:","15/03/2024 20:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","159"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"16.63","2.94","0.47","-11.92","-0.27","1.71","-3.04"
"16.68","-5.61","-0.94","-20.01","0.34","1.88","-1.68"
"16.83","4.75","2.86","-5.41","0.2","-0.35","-1.24"
"16.88","0.67","-5.06","-5.41","0.41","-0.41","-1.02"
"17.03","0.55","2.04","-17.18","-0.72","-0.65","-0.77"
"17.08","-2.16","2.94","-20.01","0.61","-0.45","-1.45"
"17.13","-4.63","-2.86","-11.69","-0.3","-1.24","0.09"
"17.18","-1.77","3.37","-0.94","-0.53","-0.88","0.53"
"17.23","-0.43","0.9","0.43","-0.32","-0.28","-0.53"
"17.28","1.18","-1.18","0.9","-0.7","-0.93","-0.89"
"17.33","1.88","2.12","-16.55","0.08","-0.17","-0.72"
"17.38","5.49","7.26","-12.87","-1.63","0.49","0.83"
"17.43","-0.27","4.67","-15.85","-0.55","0.44","-0.6"
"17.93","-2.94","2.55","-17.81","0.14","-1.02","0.23"
"17.98","-1.88","1.53","-5.45","0.04","-0.14","0.35"
"19.46","-5.41","-8.39","-20.01","1.09","-0.77","-2.67"
"20.961","10.47","10.08","-14.87","-0.65","-0.49","0.36"
"21.011","4.82","-5.02","-20.01","0.99","-0.97","-1.97"
"21.061","-0.27","-1.65","-14.95","0.95","-0.82","0.01"
"21.111","-5.22","-1.53","-13.34","-0.22","-0.47","1.54"
"21.161","-1.57","3.88","-5.45","-0.25","-0.61","1.64"
"21.311","0.08","-0.82","-11.06","-0.22","-0.03","-0.72"
"21.361","8.16","5.92","-9.73","-1.74","0.1","0.97"
"21.411","-6.67","1.88","-20.01","0.8","0.49","-0.86"
"21.461","-0.94","3.8","-10.51","-0.48","0.83","-0.36"
"21.511","-0.67","1.49","-10.9","0.08","1.58","0.05"
"21.561","-0.67","0.94","-12.28","-1.09","1.61","0.58"
"21.611","1.26","3.1","-2.94","-0.06","-0.12","-0.38"
"21.661","0.04","0.43","-6.98","0.15","-0.41","0.2"
"21.711","2.08","-0.08","-5.06","0.4","-1.55","-0.47"
"21.761","8.43","10.67","-20.01","1.59","0.53","-0.25"
"21.961","-2.04","1.8","-4.04","-0.35","-1.3","0.84"
"22.011","1.92","-2.04","5.92","-0.94","-1.09","0.04"
"22.061","1.77","-2.82","-2.67","-0.38","0.26","0.42"
"22.111","-0.78","-3.84","-15.06","-0.04","0.76","-1.36"
"22.161","9.81","9.34","-20.01","-2.92","2.28","3.08"
"22.211","0.47","8.36","-15.73","-1.24","1.31","-0.28"
"22.261","-4.75","2.75","-16.48","0.35","1.49","-0.14"
"22.311","-1.33","4.08","-10.83","-0.21","1.13","-0.23"
"22.361","1.37","1.92","-7.53","-0.66","0.33","-0.1"
"22.411","2.24","-0.24","-0.94","0.17","-0.73","-0.62"
"22.461","0.55","-1.61","-7.96","0.53","-1.41","-0.3"
"22.661","-5.88","-1.33","-13.77","-0.13","-1.28","1.78"
"22.711","0.24","6.35","-2.79","-0.26","-1.0","2.12"
"22.761","0.94","2.47","1.1","-0.34","-0.8","0.7"
"22.811","1.37","-2.08","5.73","0.01","-0.18","0.09"
"22.861","2.0","4.0","-10.87","-0.3","0.77","-0.25"
"22.911","-7.85","-1.84","-14.67","0.96","-1.19","-2.32"
"22.961","13.49","17.42","-20.01","-0.12","1.31","0.56"
"23.011","-8.98","-6.35","-15.57","0.9","0.76","-2.2"
"23.061","0.94","9.38","-12.08","-0.38","1.6","0.9"
"23.111","-0.08","3.96","-11.69","0.08","1.51","-0.8"
"23.161","-2.16","-1.18","-12.51","-0.37","-0.51","0.16"
"23.211","2.94","1.69","-1.06","-0.44","-0.74","0.38"
"23.261","2.24","-2.55","-3.8","0.7","-1.21","-0.14"
"23.311","2.98","2.0","-7.57","-0.27","-0.97","1.34"
"23.361","4.94","13.85","-20.01","1.5","0.12","0.7"
"23.411","-4.63","-4.16","-18.79","0.44","-0.19","-1.58"
"23.461","-7.69","-3.61","-15.1","0.78","-0.11","0.65"
"23.511","-3.77","3.02","-8.94","-0.34","0.02","1.91"
"23.561","0.35","6.24","-2.98","-0.39","0.17","1.08"
"23.611","1.1","0.59","2.51","-0.35","-0.27","-0.7"
"23.661","2.08","-1.92","-2.98","-0.06","0.48","-0.74"
"23.711","-3.57","-5.41","-17.14","-0.29","0.34","-1.13"
"23.761","11.41","16.28","-20.01","-1.47","1.43","2.23"
"23.911","0.9","6.55","-11.57","-0.32","1.27","-0.24"
"23.961","-3.8","-1.96","-12.0","-0.47","0.76","-0.23"
"24.011","3.92","2.63","0.75","-0.55","-0.77","0.03"
"24.061","3.14","-0.9","-3.49","-0.05","-0.54","-0.16"
"24.111","0.31","-1.65","-7.34","0.23","-1.35","-0.46"
"24.161","2.59","6.98","-14.32","1.38","-0.02","-0.1"
"24.211","-3.92","-1.45","-20.01","-0.33","-0.71","-1.25"
"24.261","-1.53","1.45","-13.93","0.18","-0.24","0.2"
"24.311","-6.04","-0.31","-15.93","0.15","0.15","0.73"
"24.361","-0.78","4.2","-5.33","0.61","-0.13","0.73"
"24.411","1.22","4.2","0.86","-0.29","0.09","0.02"
"24.461","-1.06","-1.49","1.49","0.08","-0.01","-0.72"
"24.511","2.08","-0.12","-11.69","0.07","0.21","-1.05"
"24.561","2.43","5.14","-17.57","-0.47","-0.31","0.47"
"24.611","3.88","3.06","-14.55","-0.19","0.85","-1.14"
"24.661","-9.89","-7.18","-18.24","0.95","1.15","-0.58"
"24.711","5.3","9.81","-9.14","-0.7","1.32","1.34"
"24.761","-0.82","1.84","-12.36","0.59","1.22","-0.42"
"24.811","-0.59","0.55","-6.51","-0.86","-0.04","0.03"
"24.861","2.08","0.31","-0.55","0.14","-0.52","0.24"
"24.911","-1.84","-4.98","-8.51","0.15","-0.88","0.5"
"24.961","8.51","5.45","-3.1","-0.83","-1.61","1.46"
"25.011","5.14","8.71","-20.01","0.85","-0.03","0.17"
"25.161","-3.61","1.45","-12.63","-0.5","-0.37","1.45"
"25.211","-0.27","5.3","-0.94","-0.27","-0.72","0.78"
"25.261","0.63","2.12","1.8","-0.52","-0.73","-0.4"
"25.311","2.24","-1.41","-2.08","0.91","-0.03","-0.62"
"25.361","-4.9","-5.73","-19.53","0.42","-0.53","-1.22"
"25.411","6.94","10.87","-17.65","-1.91","0.52","1.55"
"25.461","-3.49","-2.63","-14.12","0.42","0.51","-2.04"
"25.511","-4.9","-1.8","-18.55","0.32","1.59","-0.15"
"25.561","1.41","7.37","-9.81","-0.67","1.81","0.76"
"25.611","1.53","4.51","-9.73","-0.01","1.38","0.16"
"25.661","-2.98","-1.73","-4.28","-0.58","0.01","-0.44"
"25.711","3.41","0.71","-2.43","-0.05","-0.29","0.22"
"25.761","-0.39","-2.28","-8.04","0.76","-0.81","-0.33"
"25.811","5.61","7.85","-20.01","0.91","0.42","0.59"
"25.861","-2.04","-4.94","-20.01","0.16","-0.62","-2.01"
"25.911","-1.92","2.04","-20.01","0.2","-0.08","1.55"
"25.961","-4.35","1.29","-12.94","-0.26","-0.86","1.04"
"26.011","0.12","4.9","-3.96","-0.81","-0.45","1.33"
"26.061","-0.24","-0.24","6.08","-0.84","-0.84","-0.4"
"26.261","-5.06","-2.55","-20.01","1.42","0.53","-3.02"
"27.94","-5.77","-0.67","-12.2","-0.35","1.41","-0.14"
"27.991","1.26","5.88","-9.18","-0.62","1.85","0.86"
"29.966","0.43","1.53","-20.01","0.09","-0.34","-2.25"
"30.016","-1.96","-3.45","-14.51","-0.01","-0.36","-0.14"
"30.066","-4.75","1.1","-17.46","0.55","0.23","0.67"
"30.116","-1.73","4.16","-7.22","-0.56","0.02","1.06"
"30.166","0.55","3.06","1.37","-0.03","-0.36","-0.59"
"30.216","-2.0","-3.22","3.45","0.22","-0.69","-0.93"
"30.266","1.8","-0.12","-5.37","-0.63","-0.02","-0.92"
"30.316","-2.94","0.78","-15.22","-0.37","-0.58","-0.79"
"30.366","3.26","7.73","-20.01","-0.67","1.34","0.41"
"30.416","-2.94","-1.57","-11.96","-0.32","0.78","-0.95"
"30.466","-1.06","3.84","-14.32","0.04","1.65","1.03"
"30.516","0.04","4.04","-11.49","-0.06","1.7","0.48"
