NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
10.9880,-6.90,0.16,8.08,-2.37,1.40,-0.39
11.0700,-17.42,-4.98,5.02,0.58,1.51,0.15
11.1520,-13.45,-2.51,3.02,0.97,0.18,0.74
11.2340,3.06,-2.12,-4.67,0.89,-0.23,0.37
11.3160,-1.18,0.39,-1.49,0.24,0.59,-0.94
11.3980,-19.26,-4.55,2.00,0.14,-0.05,0.50
11.4800,-17.18,0.75,5.73,-0.53,-1.78,-0.26
11.5620,-10.51,-2.59,3.14,0.38,-1.14,-0.42
11.6440,-0.55,-4.00,1.77,0.29,0.03,0.45
11.7260,0.47,0.59,2.75,-1.20,0.80,-0.30
11.8080,-20.01,0.82,13.69,0.10,0.12,-0.68
11.8900,-18.95,-5.18,5.02,0.54,0.29,0.83
11.9720,-5.88,-3.88,-0.08,1.26,-0.60,0.77
12.0540,0.59,5.57,-0.71,0.06,-0.27,-0.58
12.1360,-4.51,-2.08,2.63,0.31,0.67,-0.83
12.2180,-15.30,-1.26,7.85,-0.53,0.34,0.85
12.3000,-18.67,-1.06,5.69,0.10,-1.37,0.08
12.3820,-8.59,-0.78,2.16,0.22,-1.23,-0.20
12.4640,-0.35,-0.55,1.84,-0.19,0.01,0.30
12.5460,-5.57,6.71,11.34,-1.26,0.49,-0.48
12.6280,-20.01,1.53,9.89,0.47,1.01,-0.38
12.7100,-15.85,-2.00,3.80,0.38,0.21,1.28
12.7920,2.04,-0.08,-4.31,0.66,-0.34,0.52
12.8740,0.86,2.71,0.12,0.41,0.66,-1.10
12.9560,-20.01,-10.94,-4.67,-0.19,1.84,-0.20
13.0380,-14.44,1.41,3.30,-0.39,-1.24,-0.31
13.1200,-13.34,-3.84,3.41,0.34,-1.37,-0.25
13.2020,-4.43,-0.51,1.88,0.04,0.01,0.38
13.2840,1.29,1.10,-0.04,-0.96,0.73,-0.17
13.3660,-20.01,1.02,8.83,-1.48,0.34,-1.15
13.4480,-17.06,-6.24,3.61,0.72,0.55,0.49
13.5300,-7.81,-2.71,1.69,0.91,-0.27,0.71
13.6120,2.51,4.35,-0.86,0.23,0.01,0.12
13.6940,-0.67,1.33,6.16,0.04,0.48,-0.89
13.7760,-18.95,-6.24,6.24,-0.25,-0.40,0.62
13.8580,-20.01,-1.77,7.41,0.22,-1.79,-0.13
13.9400,-6.67,-3.14,1.49,0.32,-0.82,0.08
14.0220,0.04,1.61,2.08,-0.15,-0.03,0.42
14.1040,-6.04,7.34,11.34,-1.81,0.57,-0.16
14.1860,-18.71,-2.16,7.45,0.53,0.83,-0.32
14.2680,-14.08,-1.57,2.71,0.56,0.09,0.98
14.3500,2.90,-0.55,-5.69,0.72,-0.19,0.21
14.4320,-0.31,0.86,-1.18,0.03,0.63,-0.85
14.5140,-12.87,-5.33,8.12,-0.91,2.76,1.20
14.5960,-14.16,2.35,3.80,-0.67,-0.96,-0.37
14.6780,-12.04,-3.77,3.80,0.29,-1.27,-0.46
14.7600,-2.98,-1.41,1.96,0.25,0.04,0.31
14.8420,1.41,0.67,0.43,-0.71,0.53,-0.31
14.9240,-20.01,-0.98,11.77,-0.98,0.20,-1.36
15.0060,-18.91,-6.86,5.30,0.62,0.52,0.54
15.0880,-10.28,-3.22,1.49,0.71,0.07,0.97
15.1700,2.82,4.39,-1.33,0.26,-0.09,0.17
15.2520,-1.14,-0.59,-0.63,0.32,0.59,-1.01
15.3340,-20.01,-4.20,1.77,0.14,-0.72,0.69
15.4160,-20.01,-0.75,5.45,-0.09,-1.89,-0.15
15.4980,-9.77,-2.59,3.96,0.30,-1.41,-0.30
15.5800,-1.02,-2.00,1.10,0.01,0.09,0.02
15.6620,-0.04,2.75,8.36,-0.85,0.71,-0.58
15.7440,-20.01,1.26,16.24,0.32,-0.20,-0.50
15.8260,-17.81,-4.43,4.55,0.57,0.25,1.13
15.9080,-2.86,-3.06,-1.06,1.34,-0.36,0.42
15.9900,0.04,3.41,0.55,0.28,0.21,-0.69
