NAME:,run_124_3_1,,,,,
EXPERIMENT TIME:,20/03/2024 10:48,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,161,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
22.339996,1.84,-2,0.2,-0.97,1.1,-0.23
22.440002,9.81,20.01,0.67,1.6,-0.38,-1.76
22.539993,4.75,13.26,-3.06,2.4,0.44,1.39
22.639999,-0.16,0.75,-2.28,0.18,-0.52,0.15
22.740005,6.16,1.26,-2.35,-2.48,0.55,-0.47
22.849991,13.45,20.01,0.51,-1.25,-0.54,-0.2
22.949997,1.61,6.43,-0.16,0.24,0.99,-1.49
23.050003,-1.29,-8.87,-6.35,-0.38,-0.3,-1.42
23.149994,11.02,12.83,-11.96,0.62,-0.68,1.04
23.25,10.47,20.01,3.53,0.26,-2.44,2.32
23.360001,2.67,7.37,-0.82,2.97,1.03,0.97
23.459991,-0.55,0.08,-3.96,-0.71,-0.19,0.04
23.559998,11.06,8.16,-13.93,-2.87,0.96,-0.45
23.660004,15.14,19.14,4.94,-1.32,1.49,-1.4
23.759995,1.33,2.08,-2.08,0.73,0.77,-0.98
23.869995,-0.16,-2.04,-2.04,-2.26,-0.88,-0.08
23.970001,8.04,20.01,-2.59,-4.49,-2.69,-1.25
24.069992,10.67,18.01,2.86,0.46,-1.04,2.86
24.169998,1.96,-2.59,0.9,1.08,0.69,-0.41
24.279999,4.94,-0.86,-6.83,-0.46,-0.11,-0.34
24.380005,9.92,20.01,3.33,-0.14,1.15,0.92
24.479996,5.14,15.34,3.14,0.23,-0.18,-1.1
24.580002,-1.1,2.9,-2.12,0.22,0.09,-0.69
24.679993,4.2,0.08,-5.02,-0.33,-0.3,0.18
24.789993,20.01,20.01,5.77,0.49,-0.95,2.83
24.889999,4.08,12.87,0.35,2.18,0.24,1.75
24.990005,0.67,1.29,-3.18,-0.04,-1.01,-0.34
25.089996,7.92,2.86,-5.96,-1.53,0.99,-1.47
25.190002,15.97,16.83,6.9,-2.33,-0.38,-1.13
25.289993,9.57,13.34,2.51,1.04,1.38,1.18
25.399994,-10.4,-7.69,1.18,-0.88,-0.49,-1.6
25.5,2.35,6.04,-2.04,-0.71,-0.15,-0.87
25.599991,5.65,18.12,0.24,-0.38,-0.38,-1.64
25.699997,2.08,6.47,0.94,0.26,-2.09,-0.05
25.800003,-2.98,4.16,-4.24,-2.1,-1.56,-1.11
25.910004,11.85,6.79,-6.94,0.01,0.62,0.98
26.009995,12,13.81,7.3,0.8,1.47,-0.45
26.110001,0.12,5.45,2.31,0.45,-1.03,-0.43
26.209991,-0.86,-0.63,1.06,-1.18,-0.61,0.02
26.319992,12.83,15.97,-1.8,0.31,-1.17,-1.41
26.419998,1.53,7.92,2.75,0.58,-1.02,0.68
26.720001,5.81,13.81,4.31,0,1.75,-0.12
26.830002,2.08,0.43,-2.98,0.29,0.76,0.03
26.929993,1.73,2.59,1.22,-1.57,-0.64,0.05
27.029999,9.41,20.01,-4.79,1.61,-1.59,-1.28
28.759995,0.39,-3.06,-3.02,0.13,-1.16,0.05
30.389999,6.35,15.14,-4.59,-2.34,1.44,-0.95
30.5,4.43,12.47,9.69,0.73,1.11,-1.15
30.599991,-0.55,0.59,-1.69,-0.41,0.01,-1.1
30.699997,1.14,-0.08,-1.1,0.4,0.69,0.2
30.800003,6.67,12.55,-4.98,-0.56,-2.09,-0.47
30.910004,3.96,16.79,3.73,-0.52,-2.04,0.75
31.009995,2.94,1.45,-4,2.09,-0.39,0.99
31.110001,6.75,-0.71,-6.24,-1.14,-0.26,-0.23
31.209991,13.18,20.01,-7.02,-0.89,0.29,1.84
31.309998,6.24,10.47,2.55,0.49,-0.07,0.13
31.419998,0.27,-4.67,-3.37,-1.04,-0.35,-0.98
31.520004,0.2,-1.65,-2.47,0.6,0.4,-0.93
31.619995,18.75,20.01,3.77,4.8,-0.91,0.99
31.720001,6.55,11.22,-3.88,3.37,-0.31,3.32
31.819992,0.63,1.41,-6.63,-0.57,-1.33,-1.69
31.919998,3.73,-2.12,4.47,-2.4,-0.65,-1.33
32.029999,17.5,20.01,11.61,-3.73,-1.86,1.03
32.130005,3.33,4.59,4.16,2.85,2.17,0.3
32.229996,-0.12,-1.49,-8.63,-1.13,0.11,-0.84
32.330002,7.57,8.67,-0.27,-0.24,-0.07,0.09
32.429993,14.36,20.01,6,1.28,0.1,0.44
32.539993,6,12.4,-2.04,1.6,-0.6,1.64
32.639999,-2.08,0.9,-2.04,-0.62,-2.31,0.42
32.740005,5.69,6.12,0.04,-1.92,0.33,-0.76
32.839996,17.97,14.08,2.82,-0.71,2.2,-0.28
32.949997,2.39,6.39,-0.43,1.14,1.17,-0.61
33.050003,0.75,-6.67,-5.06,-1.65,-1.41,-2.25
33.149994,3.45,6.39,-9.49,1.03,-0.7,-0.79
33.25,1.77,15.46,13.26,-1.25,-1.87,-1.53
33.349991,1.26,4.04,1.45,1.74,-0.88,0.62
33.459991,1.22,0.04,-3.57,0.8,-0.65,0.21
33.559998,9.06,13.26,-12.63,-0.77,2.09,-0.23
33.660004,8.39,13.69,9.53,-1.84,-0.17,0.74
33.759995,2.94,6.39,-1.1,1.14,0.43,0.17
33.860001,-4.86,-2.12,-11.65,-1.03,-0.34,-1.88
33.959991,13.22,20.01,20.01,-1.89,-3.94,1.77
34.069992,9.22,13.1,4.47,-0.89,-0.92,-0.05
34.169998,2.47,3.26,-3.69,1.84,0.11,0.51
34.270004,3.49,2.04,-4.79,-1.2,-0.62,-0.47
34.369995,11.1,15.38,-5.02,-0.86,1.45,-0.24
34.470001,15.14,13.77,0.2,2.89,3.64,-0.6
34.580002,-0.9,0.75,-2.98,1.53,1.25,-1.24
34.679993,-0.55,-4.04,-4.63,0.4,-1.68,-1.14
34.779999,11.92,19.93,-5.22,-0.51,-1.22,2.56
34.880005,5.73,10.59,0.86,0.66,-1.73,0.55
34.990005,0.94,3.06,-3.77,0.53,-1.01,0.77
35.089996,5.53,2.71,-3.92,-1.35,-0.02,-0.31
35.190002,14.32,20.01,-5.73,-3.6,-0.58,1.65
35.289993,6.67,17.02,2.55,1.01,0.44,-0.49
35.389999,-4.2,-6.51,-1.37,-0.69,0.98,-2.9
35.490005,-2.9,-0.12,-1.69,0.28,-0.48,-0.67
35.599991,-1.06,20.01,-4.71,0.82,-2,0.64
35.699997,3.49,20.01,-1.45,0.98,-1.08,1.27
35.800003,-1.06,8.39,-2,1.41,0.13,0.29
35.899994,0.82,2.39,-6.16,-1.19,-0.03,0.03
36.009995,3.53,9.45,-3.84,-0.33,1.25,0
36.110001,4.9,17.81,7.3,1.17,1.96,-0.52
36.209991,-0.24,5.33,-4.31,0.39,0.1,-0.43
38.550003,1.53,-4.39,0.27,-1.2,-1.47,-0.83
38.660004,4.9,14.2,-8.79,-0.63,-2.87,-1.31
39.369995,3.96,4.04,2.79,-1.95,-0.97,0.33
39.470001,7.61,19.1,-6.16,0.87,-2.29,-1.01
39.580002,3.61,13.61,0.51,1.76,-1.18,-0.1
39.679993,1.84,3.69,-4.43,0.18,-0.35,0.68
39.779999,5.33,4.04,-1.84,-2.81,-0.11,-0.08
39.880005,13.42,20.01,-3.02,3.36,-0.19,2.67
39.979996,1.84,6.83,0.9,-0.49,-0.24,-0.53
40.080002,-1.1,-0.31,-1.33,-1.83,-0.83,-1.18
40.190002,6.79,6.98,-11.53,-2.34,-1.23,-0.21
40.289993,1.41,20.01,1.84,-0.4,-1.78,-1.76
40.389999,5.92,8.55,-1.26,0.87,-0.24,0.68
40.490005,0.24,1.02,-1.57,0.11,0.45,-0.56
40.599991,3.41,10.98,-8.87,-3.4,-0.39,0.48
40.699997,9.1,17.02,2.98,-1.95,-0.92,-0.73
40.800003,2.08,5.06,0.04,1.73,1.44,-0.79
40.899994,-1.33,-7.96,1.61,-1.83,-1.65,-1.83
41,9.81,20.01,-1.69,1.97,-4.07,0.31
41.099991,3.37,13.77,6.43,0.52,0.61,0.94
41.209991,-2.67,5.69,5.14,2.02,-2.13,1.28
41.309998,2.08,0.04,-1.57,-2.09,-1.65,-0.71
41.410004,4.12,20.01,11.18,-2.17,-1.72,1.19
41.509995,6.59,10.08,3.14,0.78,0.5,0.22
41.619995,0.78,-2.43,-5.96,0.76,-0.26,-0.49
41.720001,10.43,8.32,-17.65,-0.31,2.07,-0.92
41.819992,12.36,19.97,-4.31,-0.53,-0.1,0.06
41.919998,5.02,4.71,-2.16,1.83,0.45,1
42.020004,2.2,-1.29,-7.06,0.02,0.89,-0.78
42.130005,14.51,14.75,-19.69,-1.86,4.28,-0.36
42.229996,12.63,12.47,5.88,-1.2,0.63,-0.4
42.330002,4.82,9.02,-3.73,0.98,1.11,-0.17
42.429993,-3.96,-6.32,10.87,-2.29,-0.7,-1.1
42.529999,8,15.85,13.18,-0.33,-3.01,-1.31
42.630005,5.06,16.91,6.63,0.93,-1.15,1.18
42.740005,4.98,3.53,-3.14,0.76,-0.97,0.71
42.839996,2.79,0.39,-11.1,2.12,1.14,0.67
42.940002,13.18,20.01,-1.53,-0.1,1.55,3.3
43.039993,4.04,11.22,8.28,1.12,1.88,0.82
43.139999,-1.53,1.92,-6.67,-0.42,1.18,-0.39
43.25,3.88,1.84,-0.98,-1.11,-1.15,-0.05
43.349991,10.9,20.01,-1.69,4.68,-0.94,0.17
43.449997,1.69,9.65,-4.82,3.01,0.09,0.33
43.550003,0.16,-1.1,-2.82,-1.22,-1.33,0.01
43.660004,5.57,6.55,0.63,-3.76,-0.41,0.58
43.759995,16.2,20.01,7.34,0.48,1.2,1.31
43.860001,-0.27,3.77,-3.1,0.94,0.89,-1.14
43.959991,0.35,-4.28,-0.51,-1.12,-0.57,-1.48
44.059998,0.27,10.63,-6.83,-0.83,-1.53,-1.4
44.169998,6.79,20.01,-0.47,1.56,-0.41,1.1
44.270004,0.16,8.32,0.27,2.28,-1.25,1.99
44.369995,2.16,1.69,-4.28,-0.99,-0.05,0.32
44.470001,12.94,9.45,-20.01,-2.6,3.52,-0.63
44.569992,12.43,15.93,2.16,0.15,1.05,1.06
44.669998,-2.47,-1.06,-5.81,0.33,1.47,-1.82
45.080002,4.28,5.37,-1.41,2.47,0.58,0.41
45.179993,-3.37,-3.37,-9.53,0.42,0.55,-1.08
47.839996,11.53,17.26,3.53,-2.51,2,0.37
