NAME:,walk_121_4_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:48,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
28.222028,6.04,-11.49,4.82,1.22,-1.02,0.11
28.304938,3.69,-10.98,1.18,0.33,0.89,0.37
28.445799,0.98,-4.16,1.65,-0.14,0.51,0.26
28.52408,-1.22,-3.14,3.3,0.05,0.79,-0.52
28.642146,-2.47,-7.06,5.26,-0.48,-0.39,-0.53
28.731825,2.55,-12.2,11.3,0.05,0.19,0.4
28.848538,-1.77,-9.92,-3.06,0.52,-0.29,-0.37
28.937451,4.71,-6.35,3.65,-0.32,0.47,-0.61
29.063126,-1.41,-4.55,-0.86,0.83,-1.68,0.53
29.149359,3.88,-3.18,3.84,-0.42,-0.49,0.56
29.261406,3.1,-13.22,9.85,0.62,-0.77,0.01
29.35823,5.33,-11.38,-0.12,-0.46,0.32,-0.47
29.488922,1.65,-14.71,1.45,-2.27,2.24,0.37
29.573034,1.14,-4.51,2.63,0.06,1.87,0.17
29.661075,-1.29,-5.1,1.33,-0.05,0.43,-0.31
29.778417,-0.43,-9.45,7.88,-0.52,-0.31,-0.41
29.862023,2.94,-12.94,11.73,0.93,0.96,0.16
29.97684,2.75,-13.96,-4.43,-0.62,-1.65,-0.81
30.063822,0.82,-4.75,6.9,-0.11,-0.99,-0.15
30.178872,-0.24,-4.2,-1.41,0.71,-1.83,0.5
30.269782,3.02,-4.67,6.16,-0.77,-0.02,0.59
30.385459,2.63,-12.47,10.94,0.56,-1.51,0.05
30.469778,6.2,-3.96,-1.14,-0.98,1.25,-0.26
30.609501,1.33,-11.34,2.43,-1.03,1.92,0.77
30.694863,1.8,-3.02,1.53,0.16,1.81,-0.29
30.821607,-2.98,-5.77,2.43,-0.18,0.09,-0.47
30.893399,1.41,-10.94,8.16,-0.04,-0.02,-0.07
31.004849,-0.82,-12.63,7.26,1.5,0.91,0.04
31.093732,5.96,-12.98,2.75,-0.37,-0.44,-0.44
31.204969,-1.37,-4.31,5.84,1.16,-1.35,0.33
31.287874,-0.12,-4.59,-0.31,0.49,-1.38,0.52
31.415405,0.94,-7.57,9.53,-0.87,0.11,0.66
31.505068,0.86,-11.69,12.28,1.05,-2.3,0.28
31.628612,6.39,-6.28,1.57,0.13,0.92,0.15
31.721174,0.31,-9.81,3.77,-0.49,0.52,0.88
31.851049,1.73,-3.53,1.61,0.02,1.55,-0.54
31.929253,-2.55,-5.73,2.98,-0.29,-0.19,-0.47
32.012587,-0.08,-12.43,8.04,-0.15,0.21,0.17
32.116756,-0.63,-9.49,2.31,1.54,1.38,-0.21
32.226469,5.18,-11.34,4,-0.51,-0.21,-0.42
32.361349,-2.28,-5.45,1.06,0.87,-1.52,0.27
32.449072,3.73,-2.79,1.49,0.16,-0.91,0.31
32.561852,-0.12,-10.32,10.43,-0.4,0.07,0.5
32.646497,4.04,-11.53,6.35,1.61,-1.4,-0.11
32.770085,3.8,-11.18,0.55,0.47,0.1,0.39
32.8544,0.78,-5.73,3.77,-0.44,1.33,0.63
32.938851,0.47,-3.8,1.8,0.04,1,-0.58
33.062151,-3.37,-5.77,4.63,-0.44,-0.26,-0.51
33.151223,-0.63,-12.24,11.14,-0.2,0.56,0.28
33.276749,-0.47,-8.2,0.24,0.78,0.06,-0.27
33.373984,5.22,-9.61,3.53,-0.94,0.2,-0.6
33.48871,-2.39,-4.94,1.8,0.85,-1.98,0.54
33.581759,3.1,-3.61,1.8,-0.13,-0.47,0.36
