NAME:,walk_124_3_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:32,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,96,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
36.619995,2.51,9.18,-0.08,-0.35,1.01,0.01
36.719971,0.9,8.12,1.02,0.08,1.2,0.41
36.830078,0.31,8.16,1.92,0.51,1.04,0.32
37.130005,4.79,12,0.27,-0.33,0.44,-0.3
37.440063,0.9,10.4,-0.31,0.63,1.55,0.37
38.25,0.35,9.65,0.51,0.22,0.7,0.19
38.560059,1.88,13.3,0.78,0.06,1.2,-0.85
39.380005,0.82,12.4,-0.35,0.48,1.75,-0.03
40.089966,4.12,12.08,-0.55,-0.09,0.25,-0.68
40.190063,2.9,8.59,-0.59,-0.3,0.36,-0.16
40.290039,2.24,9.38,-0.75,0.53,0.64,0.38
40.400024,0.71,9.45,-0.12,0.54,0.87,0.43
40.5,-0.2,9.57,0.39,0.3,0.44,0.29
40.599976,0.04,9.73,-0.31,0.24,0.37,0.17
40.700073,0.63,10.12,0.75,0.07,-0.04,0.17
40.800049,0.31,13.45,0.39,0.7,0.96,0.16
40.910034,2.04,9.92,-2.59,-0.07,-0.44,-0.09
41.01001,1.69,11.14,-1.22,-0.19,-0.26,-0.38
41.109985,1.02,8.79,-0.78,-0.52,-1.02,-0.4
41.210083,0.75,9.45,0.31,-0.46,-1.39,0
41.310059,-0.51,8.9,1.18,-0.1,-0.88,0.12
41.420044,0.16,9.73,0.24,-0.12,-0.99,-0.11
41.52002,2.2,15.46,0.39,-0.19,0.27,-0.64
41.619995,2.39,8.63,0.27,-0.8,-0.46,-0.47
41.719971,1.69,8.9,-0.75,0.4,-0.36,0.2
41.820068,0.78,9.02,0.12,0.26,0.22,0.56
41.930054,0.27,9.49,0.43,0.36,0.18,0.24
42.030029,0.43,9.73,1.14,0.13,0.12,0.27
42.130005,0.39,10.4,0.98,0.14,0.07,0.23
42.22998,1.29,12.94,-0.47,0.8,0.83,-0.14
42.330078,4.08,10.43,-0.35,-0.04,-0.11,-0.12
42.440063,2.47,11.1,-0.04,-0.01,0.36,-0.35
42.540039,1.49,7.49,-0.16,-0.28,-0.42,-0.16
42.640015,0.67,8.75,1.84,-0.07,-0.53,0.11
42.73999,-0.47,8.98,0.98,0.24,0.04,-0.23
42.839966,0.08,11.61,5.02,-0.18,-0.31,-0.24
42.950073,2.63,11.65,0.16,0.16,0.01,-0.4
43.050049,2.08,7.77,-0.27,0.1,0.08,-0.05
43.150024,2.08,10.47,-0.04,0.44,-0.24,0.73
43.25,0.71,10.43,0.16,0.1,-0.11,0.39
43.349976,0.12,8.83,1.14,0.16,-0.12,0.16
43.460083,0.94,9.06,-0.35,0.29,-0.05,0.08
43.560059,1.53,11.34,2.08,0.59,0.61,0.34
43.660034,2.28,13.14,-2.43,0.33,0.32,-0.18
43.76001,2.98,10.24,0.35,-0.34,-0.64,-0.28
43.859985,0.98,8.59,-0.71,-0.52,-0.87,-0.38
43.969971,1.53,8.43,0.27,-0.27,-1.52,-0.25
44.070068,0.43,8.43,1.18,-0.16,-1.21,0.13
44.170044,0.27,10.51,1.69,-0.06,-0.85,-0.36
44.27002,-0.55,10.87,2.9,-0.45,-0.15,-0.43
44.369995,2.31,12.63,1.57,-0.17,-0.52,-0.62
44.47998,1.45,8.43,-1.26,0.17,-0.81,-0.09
44.580078,1.73,9.53,0.16,0.22,-0.88,0.4
44.680054,0.9,9.38,0.04,0.33,-0.38,0.25
44.780029,0.43,9.69,0.98,0.2,-0.38,0.2
44.880005,0.59,9.57,-0.67,0.04,0.14,0.13
44.98999,1.22,11.14,1.73,0.07,0.11,0.28
45.089966,1.45,13.02,-2.94,0.59,0.28,-0.02
45.190063,3.14,9.41,-0.47,-0.46,-1.12,-0.49
45.290039,1.37,9.18,-1.02,-0.4,-1,-0.55
45.390015,1.53,9.49,-0.27,-0.43,-1.86,-0.33
45.700073,1.49,10.47,2.16,-0.26,-1.69,0
45.800049,0.31,10.51,2.31,-0.38,0.01,-0.47
45.900024,2.43,10.04,-0.08,-0.27,-0.78,-0.7
48.349976,1.29,12.71,-0.78,-0.21,-0.46,-0.41
48.660034,-0.2,9.22,1.06,-0.24,-1,-0.09
48.76001,0.94,9.41,1.14,-0.57,-1.77,-0.46
48.859985,1.84,13.02,1.77,-0.01,0.08,-0.43
48.960083,2.55,10.24,-1.22,-0.13,-0.46,-0.34
49.070068,1.77,9.41,0.94,0.4,-1.26,-0.13
49.170044,0.86,9.26,0.78,0.12,-0.74,0.15
49.27002,0.82,9.92,0.51,0.34,-0.53,0.26
49.369995,0.9,9.38,1.18,0.22,-0.28,0.1
49.469971,1.18,9.73,0.51,0.13,-0.15,0.14
49.580078,1.41,11.65,1.96,0.46,0.43,0.24
49.680054,2.55,11.49,-1.77,0.22,0.08,-0.02
49.780029,2.12,11.69,-0.08,-0.24,-0.37,-0.52
49.880005,1.65,8.2,-0.35,-0.72,-0.92,-0.64
49.97998,1.33,8.47,1.49,-0.45,-1.34,-0.33
50.089966,0.12,8.75,2.12,0.07,-0.36,0.08
50.190063,-0.27,9.65,1.26,0.01,-0.24,-0.14
50.290039,1.18,13.77,3.49,0.01,0.1,-0.59
50.390015,2.79,8.71,-2.47,-0.4,0.56,-0.57
50.48999,1.65,8.55,1.26,0.5,-0.04,0.17
50.599976,0.67,9.3,1.61,-0.2,-0.28,0.01
50.700073,0.24,8.32,2.08,0.48,0.34,0.19
50.800049,-0.08,8.75,1.69,0.28,0.95,0.19
50.900024,0.47,9.69,2.04,0.03,0.64,0.24
51,1.18,11.89,1.77,0.82,1.26,0.2
51.109985,3.02,10.59,-0.39,-0.15,0.93,0.43
51.210083,3.18,11.57,-0.98,0.3,1.06,0.12
51.310059,0.86,8.43,1.77,-0.19,0.32,0.34
51.410034,0.27,8.98,2.9,0.04,0.13,0.23
51.51001,0.35,8,2.39,-0.16,0.09,0.2
51.619995,2,9.65,4.79,0.02,-1.02,-0.21
51.719971,1.96,11.49,4.63,0.06,0.22,-0.28
51.820068,2.94,8.71,-2.9,-0.46,-0.28,-0.18
51.920044,1.8,9.85,0.71,0.77,0.41,-0.01
52.02002,1.14,8.51,0.78,0.32,0.5,0.18
52.130005,0.67,9.06,0.75,0.61,0.9,0.22
52.22998,0,9.49,0.94,0.35,0.45,0.15
52.330078,0.31,9.41,1.57,0.13,0.16,0.15
52.430054,0.59,12.08,2.12,0.48,0.57,0.26
52.530029,2.75,12,-3.41,0.42,0.37,-0.36
52.630005,2.35,10.63,0.82,-0.16,-0.56,-0.36
52.73999,1.33,9.3,-0.59,-0.4,-0.31,-0.45
52.839966,0.75,8.39,0.12,-0.17,-1.12,-0.17
52.940063,0,7.57,1.92,-0.21,-0.69,0.06
53.040039,0.08,9.77,2.31,0.17,-0.06,-0.04
53.140015,0.55,13.14,4,0.18,0.62,-0.04
53.25,3.73,11.18,0.55,-0.05,-0.03,-0.38
53.349976,2.59,9.69,1.88,0.45,0.47,0.1
53.450073,1.57,9.26,0.43,0.24,1.05,0.44
53.550049,0.55,9.89,1.1,0.42,1.36,0.54
53.859985,0.31,9.45,1.69,0.26,0.6,0.61
54.170044,2.35,10.4,-0.9,-0.08,1.26,0.08
54.27002,1.22,7.88,1.02,-0.22,0.48,0.6
54.369995,0.67,9.18,1.1,0.38,0.96,0.35
55.390015,0.82,9.81,0.82,0.19,0.74,0.29
56.609985,-0.24,10.12,0.67,0.44,1.61,0.5
57.119995,1.61,9.45,0.55,-0.14,0.61,-0.32
57.22998,0.63,8.79,0.43,-0.39,-0.07,-0.09
57.330078,0.27,8.75,1.77,-0.07,-0.33,0.17
57.430054,-0.12,8.12,1.49,0.1,-0.03,-0.03
57.530029,-0.35,11.96,4.63,-0.12,-0.21,-0.12
57.630005,2.51,12.16,0.35,-0.18,0.16,-0.36
57.73999,2.98,9.1,0.31,-0.12,-0.37,0.11
57.839966,2.08,9.45,0.2,0.38,0.13,0.32
57.940063,0.63,9.06,0.12,0.97,0.53,0.49
58.040039,-0.04,9.1,0.9,0.3,0.32,0.3
58.140015,0.71,9.81,-0.63,0.08,-0.05,0.18
58.25,1.18,11.73,2.63,-0.01,0.27,0.32
58.349976,1.92,13.73,-2.47,0.5,0.42,0.09
58.450073,2.71,8.28,0.82,-0.17,-0.14,-0.47
58.550049,1.18,9.45,-0.94,-0.47,-0.45,-0.38
58.650024,1.41,8.87,0.08,-0.28,-1.58,-0.09
58.76001,0.47,9.61,0.51,-0.14,-1.25,-0.2
